Fault Code,Fault Description (English),Fault Description (中文),Fault Description (Français),Go To FIM Task,,
282 010 48,Refuel quantity indicator: blank - all tanks.,加油量指示器：空白 - 所有油箱。,Indicateur de quantité de ravitaillement : vide - tous les réservoirs.,28-21 TASK 804,,
282 011 48,Refuel quantity indicator: Display is not correct with switch at TEST GAGES - all tanks.,加油量指示器：开关置于测试仪表(TEST GAGES)位时显示不正确 - 所有油箱。,Indicateur de quantité de ravitaillement : L'affichage n'est pas correct avec le commutateur sur TEST GAGES - tous les réservoirs.,28-21 TASK 802,,
282 012 48,Refuel quantity indicator: Shows Ind FAlL - all tanks.,加油量指示器：显示 Ind FAlL - 所有油箱。,Indicateur de quantité de ravitaillement : Affiche Ind FAlL - tous les réservoirs.,28-21 TASK 805,,
282 013 48,Refuel quantity indicator: shows ARINC error message - all tanks.,加油量指示器：显示 ARINC 错误信息 - 所有油箱。,Indicateur de quantité de ravitaillement : affiche un message d'erreur ARINC - tous les réservoirs.,28-21 TASK 817,,
282 015 43,Refuel quantity indicator: flashes - center tank.,加油量指示器：闪烁 - 中央油箱。,Indicateur de quantité de ravitaillement : clignote - réservoir central.,28-21 TASK 816,,
282 020 48,REFUEL VALVE Light: light does not go off after pressing the press-to-test switch - all tanks.,加油活门灯：按下按压测试开关后灯不熄灭 - 所有油箱。,Voyant REFUEL VALVE : le voyant ne s'éteint pas après avoir appuyé sur l'interrupteur press-to-test - tous les réservoirs.,28-21 TASK 806,,
282 030 01,Refuel valve position indicator light does not come on with valves selected open and refueling manifold pressurized - tank no. 1.,加油活门位置指示灯在选择活门打开且加油总管加压时不亮 - 1号油箱。,Le voyant indicateur de position de la vanne de ravitaillement ne s'allume pas lorsque les vannes sont sélectionnées ouvertes et que le collecteur de ravitaillement est sous pression - réservoir n° 1.,28-21 TASK 807,,
282 080 00,Refueling panel light: light does not come on with ground power on the airplane.,加油面板灯：飞机接通地面电源时灯不亮。,Éclairage du panneau de ravitaillement : le voyant ne s'allume pas lorsque l'alimentation de piste est connectée à l'avion.,28-21TASK 810,,
282 090 00,Refueling does not stop at the preselected quantity.,加油未在预选数量处停止。,Le ravitaillement ne s'arrête pas à la quantité présélectionnée.,28-21TASK 811,,
282 100 02,Fuel tank: unwanted fuel transfer from a main tank to the center tank - from tank 2.,油箱：非预期的燃油从主油箱传输到中央油箱 - 从2号油箱。,Réservoir de carburant : transfert de carburant non souhaité d'un réservoir principal vers le réservoir central - depuis le réservoir 2.,28-21TASK 813,,
29101051,ENG 1 LOW PRESSURE light:  light off when the electric motor-driven pump is operated.,ENG 1 低压灯：当电动泵工作时灯灭。,Voyant ENG 1 LOW PRESSURE : voyant éteint lorsque la pompe entraînée par moteur électrique fonctionne.,29-10TASK 801,,
29101052,ENG 2 LOW PRESSURE light:  light off when the electric motor-driven pump is operated.,ENG 2 低压灯：当电动泵工作时灯灭。,Voyant ENG 2 LOW PRESSURE : voyant éteint lorsque la pompe entraînée par moteur électrique fonctionne.,29-10TASK 802,,
